old_url,new_url,old_name,new_name,match_type,similarity,sku
"/product/klever-excel-single-sided-cutter","https://keypak.tbkdev.com/product/klever-excel-single-sided-cutter/","klever-excel-single-sided-cutter","klever-excel-single-sided-cutter","sku_match","1.00","TK.50050.8"
"/product/klever-koncept-disposable-double-head-cutter","https://keypak.tbkdev.com/product/klever-koncept-disposable-double-head-cutter/","klever-koncept-disposable-double-head-cutter","klever-koncept-disposable-double-head-cutter","sku_match","1.00","TK.50066.8"
"/product/klever-koncept-disposable-double-head-cutter-2","https://keypak.tbkdev.com/product/klever-koncept-disposable-double-head-cutter-2/","klever-koncept-disposable-double-head-cutter","klever-koncept-disposable-double-head-cutter","sku_match","1.00","TK.50067.8"
"/product/klever-koncept-disposable-double-head-cutter-3","https://keypak.tbkdev.com/product/klever-koncept-disposable-double-head-cutter-5/","klever-koncept-disposable-double-head-cutter","klever-koncept-disposable-double-head-cutter","sku_match","1.00","TK.50068.8"
"/product/klever-koncept-disposable-double-head-cutter-4","https://keypak.tbkdev.com/product/klever-koncept-disposable-double-head-cutter-3/","klever-koncept-disposable-double-head-cutter","klever-koncept-disposable-double-head-cutter","sku_match","1.00","TK.50069.8"
"/product/klever-x-change-replacement-heads-double-sided","https://keypak.tbkdev.com/product/klever-x-change-replacement-heads/","klever-x-change-replacement-heads-double-sided","klever-x-change-replacement-heads","sku_match","1.00","TK.50070.3"
"/product/klever-x-change-replacement-heads-double-sided-kurve","https://keypak.tbkdev.com/product/klever-x-change-replacement-heads-4/","klever-x-change-replacement-heads-double-sided-kurve","klever-x-change-replacement-heads","sku_match","1.00","TK.50073.3"
"/product/klever-x-change-replacement-heads-single-sided","https://keypak.tbkdev.com/product/klever-x-change-replacement-heads-2/","klever-x-change-replacement-heads-single-sided","klever-x-change-replacement-heads","sku_match","1.00","TK.50076.3"
"/product/klever-kutter-holster-fits-1-knife","https://keypak.tbkdev.com/product/klever-kutter-holster/","klever-kutter-holster-fits-1-knife","klever-kutter-holster","sku_match","1.00","TK.50095.3"
"/product/72w-x-80l-moving-blanket-blue","https://keypak.tbkdev.com/product/moving-blanket/","72w-x-80l-moving-blanket-blue","moving-blanket","sku_match","1.00","WW.84012.9"
"/product/72w-x-80l-moving-blanket-blue-green","https://keypak.tbkdev.com/product/moving-blanket-3/","72w-x-80l-moving-blanket-blue-green","moving-blanket","sku_match","1.00","WW.84013.9"
"/product/ez-loader-pallet-lifters-2","https://keypak.tbkdev.com/product/ez-loader-pallet-lifters-2/","ez-loader-pallet-lifters","ez-loader-pallet-lifters","sku_match","1.00","WW.84549.0"
"/product/loosefill-biodegradable","https://keypak.tbkdev.com/product/loose-fill-biodegradable-peanuts/","loosefill-biodegradable","loose-fill-biodegradable-peanuts","sku_match","1.00","BL.32000.9"
"/product/cap-tissue-18-x-24","https://keypak.tbkdev.com/product/cap-tissue/","cap-tissue-18-x-24","cap-tissue","sku_match","1.00","KC.18241.0"
"/product/hydraulic-pallet-truck-narrow-width-standard-duty-5500lb","https://keypak.tbkdev.com/product/hydraulic-pallet-truck-2/","hydraulic-pallet-truck-narrow-width-standard-duty","hydraulic-pallet-truck","sku_match","1.00","WW.83020.5"
"/product/hardwood-dolly-capacity-900lbs","https://keypak.tbkdev.com/product/hardwood-dolly/","hardwood-dolly-capacitys","hardwood-dolly","sku_match","1.00","WW.84019.9"
"/product/heavy-duty-hardwood-dolly-capacity-1400lbs","https://keypak.tbkdev.com/product/hardwood-dolly-3/","heavy-duty-hardwood-dolly-capacitys","hardwood-dolly","sku_match","1.00","WW.84021.9"
"/product/heavy-duty-wood-dolly-w-carpeted-ends-capacity-1400lbs","https://keypak.tbkdev.com/product/hardwood-dolly-5/","heavy-duty-wood-dolly-w-carpeted-ends-capacitys","hardwood-dolly","sku_match","1.00","WW.84022.9"
"/product/hydraulic-pallet-truck-standard-duty-5500lb","https://keypak.tbkdev.com/product/hydraulic-pallet-truck-standard-duty-5500lb/","hydraulic-pallet-truck-standard-duty","hydraulic-pallet-truck-standard-duty","sku_match","1.00","WW.84041.8"
"/product/hydraulic-pallet-truck-heavy-duty-6600lb","https://keypak.tbkdev.com/product/hydraulic-pallet-truck-heavy-duty-6600lb/","hydraulic-pallet-truck-heavy-duty","hydraulic-pallet-truck-heavy-duty","sku_match","1.00","WW.84043.8"
"/product/hydraulic-pallet-truck-long-fork-medium-duty-3300-lbs","https://keypak.tbkdev.com/product/hydraulic-pallet-truck-long-fork-medium-duty-3300-lbs/","hydraulic-pallet-truck-long-fork-medium-dutys","hydraulic-pallet-truck-long-fork-medium-dutys","sku_match","1.00","WW.84060.8"
"/product/4-step-rolling-step-ladder","https://keypak.tbkdev.com/product/4-step-rolling-step-ladder/","4-step-rolling-step-ladder","4-step-rolling-step-ladder","sku_match","1.00","WW.84061.8"
"/product/3-step-rolling-step-ladder","https://keypak.tbkdev.com/product/3-step-rolling-step-ladder/","3-step-rolling-step-ladder","3-step-rolling-step-ladder","sku_match","1.00","WW.84062.8"
"/product/8-step-rolling-step-ladder","https://keypak.tbkdev.com/product/8-step-rolling-step-ladder-2/","8-step-rolling-step-ladder","8-step-rolling-step-ladder","sku_match","1.00","WW.84063.8"
"/product/digital-scale-pallet-truck-4400lb-capacity","https://keypak.tbkdev.com/product/fork-digital-scale-pallet-truck/","digital-scale-pallet-truck-capacity","fork-digital-scale-pallet-truck","sku_match","1.00","WW.84075.0"
"/product/hand-truck-pneumatic-wheeled-continuous-handle-48-x-21-5","https://keypak.tbkdev.com/product/hand-truck-pneumatic-wheeled-continuous-handle-2/","hand-truck-pneumatic-wheeled-continuous-handle-48-x-21","hand-truck-pneumatic-wheeled-continuous-handle","sku_match","1.00","WW.84076.8"
"/product/hand-truck-pneumatic-wheeled-p-handle-48-x-21-5","https://keypak.tbkdev.com/product/hand-truck-pneumatic-wheeled-p-handle/","hand-truck-pneumatic-wheeled-p-handle-48-x-21","hand-truck-pneumatic-wheeled-p-handle","sku_match","1.00","WW.84077.8"
"/product/hand-truck-flat-free-continuous-handle-48-x-21-5","https://keypak.tbkdev.com/product/hand-truck-flat-free-continuous-handle/","hand-truck-flat-free-continuous-handle-48-x-21","hand-truck-flat-free-continuous-handle","sku_match","1.00","WW.84079.8"
"/product/platform-truck-24-x-36","https://keypak.tbkdev.com/product/platform-truck/","platform-truck-24-x-36","platform-truck","sku_match","1.00","WW.84087.8"
"/product/platform-truck-30-x-48","https://keypak.tbkdev.com/product/platform-truck-3/","platform-truck-30-x-48","platform-truck","sku_match","1.00","WW.84088.8"
"/product/platform-truck-30-x-60","https://keypak.tbkdev.com/product/platform-truck-4/","platform-truck-30-x-60","platform-truck","sku_match","1.00","WW.84089.8"
"/product/portable-poly-handtruck-dock-plate","https://keypak.tbkdev.com/product/portable-poly-hand-truck-2/","portable-poly-handtruck-dock-plate","portable-poly-hand-truck","sku_match","1.00","WW.84111.0"
"/product/mutli-directional-hydraulic-pallet-truck-4-fork","https://keypak.tbkdev.com/product/fork-multi-directional-hydraulic-pallet-truck-2/","mutli-directional-hydraulic-pallet-truck-4-fork","fork-multi-directional-hydraulic-pallet-truck","sku_match","1.00","WW.84162.0"
"/product/general-purpose-cart-24-x-36-x-48-long","https://keypak.tbkdev.com/product/general-purpose-cart-2/","general-purpose-cart-24-x-36-x-48-long","general-purpose-cart","sku_match","1.00","WW.84426.8"
"/product/transport-tie-down-chain-20-grade-70","https://keypak.tbkdev.com/product/transport-tie-down-chain-20-grade-70-2/","transport-tie-down-chain-20-grade-70","transport-tie-down-chain-20-grade-70","sku_match","1.00","WX.10982.0"
"/product/cap-tissue-20-x-30","https://keypak.tbkdev.com/product/cap-tissue-2/","cap-tissue-20-x-30","cap-tissue","sku_match","1.00","KC.20301.0"
"/product/coated-vci-paper-36-x-600","https://keypak.tbkdev.com/product/vci-paper/","coated-vci-paper-36-x-600","vci-paper","sku_match","1.00","KP.83600.0"
"/product/coated-vci-paper-48-x-600","https://keypak.tbkdev.com/product/coated-vci-paper/","coated-vci-paper-48-x-600","coated-vci-paper","sku_match","1.00","KP.84800.0"
"/product/18-kraft-paper-roll-dispenser-horizontal","https://keypak.tbkdev.com/product/18-kraft-paper-roll-dispenser-horizontal/","18-kraft-paper-roll-dispenser-horizontal","18-kraft-paper-roll-dispenser-horizontal","sku_match","1.00","KR.98180.8"
"/product/24-kraft-paper-roll-dispenser-horizontal","https://keypak.tbkdev.com/product/24-kraft-paper-roll-dispenser-horizontal/","24-kraft-paper-roll-dispenser-horizontal","24-kraft-paper-roll-dispenser-horizontal","sku_match","1.00","KR.98240.8"
"/product/flammable-storage-cabinet-110-gallons","https://keypak.tbkdev.com/product/flammable-drum-storage-cabinet-2/","flammable-storage-cabinetlons","flammable-drum-storage-cabinet","sku_match","1.00","FC.00540.0"
"/product/flammable-storage-cabinet-12-gallon","https://keypak.tbkdev.com/product/flammable-storage-cabinet/","flammable-storage-cabinetlon","flammable-storage-cabinet","sku_match","1.00","FC.00642.0"
"/product/flammable-storage-cabinet-20-gallon","https://keypak.tbkdev.com/product/flammable-storage-cabinet-2/","flammable-storage-cabinetlon","flammable-storage-cabinet","sku_match","1.00","FC.00646.0"
"/product/flammable-storage-cabinet-60-gallon","https://keypak.tbkdev.com/product/flammable-storage-cabinet-7/","flammable-storage-cabinetlon","flammable-storage-cabinet","sku_match","1.00","FC.00648.0"
"/product/36-kraft-paper-roll-dispenser-horizontal","https://keypak.tbkdev.com/product/36-kraft-paper-roll-dispenser-horizontal/","36-kraft-paper-roll-dispenser-horizontal","36-kraft-paper-roll-dispenser-horizontal","sku_match","1.00","KR.98360.8"
"/product/bubble-wrap-dispenser-floor-unit-single-arm-24","https://keypak.tbkdev.com/product/floor-unit-single-arm/","bubble-wrap-dispenser-floor-unit-single-arm-24","floor-unit-single-arm","sku_match","1.00","SC.54022.0"
