old_url,new_url,reason,old_name,new_name,sku
"/product/flexsor-pu-palm-coated-nylon-glove-medium","https://keypak.tbkdev.com/product/flexsor-pu-palm-coated-nylon-glove-medium/","identical_urls","","","JS.11411.8"
"/product/hppe-nitrile-coated-cut-resistant-medium","https://keypak.tbkdev.com/product/hppe-nitrile-coated-cut-resistant-medium/","identical_urls","","","JS.11564.0"
"/product/hppe-nitrile-coated-cut-resistant-large","https://keypak.tbkdev.com/product/hppe-nitrile-coated-cut-resistant-large/","identical_urls","","","JS.11565.0"
"/product/lady-finger-nitrile-palm-small","https://keypak.tbkdev.com/product/lady-finger-nitrile-palm-small/","identical_urls","","","JS.11805.5"
"/product/premium-double-palm-fitters-large","https://keypak.tbkdev.com/product/premium-double-palm-fitters-large/","identical_urls","","","JS.14415.8"
"/product/polycotton-string-knit-double-dot-grip-gloves-small","https://keypak.tbkdev.com/product/polycotton-string-knit-double-dot-grip-gloves-small/","identical_urls","","","JS.15012.8"
"/product/polycotton-string-knit-double-dot-grip-gloves-medium","https://keypak.tbkdev.com/product/polycotton-string-knit-double-dot-grip-gloves-medium/","identical_urls","","","JS.15013.8"
"/product/polycotton-string-knit-double-dot-grip-gloves-large","https://keypak.tbkdev.com/product/polycotton-string-knit-double-dot-grip-gloves-large/","identical_urls","","","JS.15014.8"
"/product/palm-coated-cotton-lined-gloves-small","https://keypak.tbkdev.com/product/palm-coated-cotton-lined-gloves-small/","identical_urls","","","JS.15017.0"
"/product/palm-coated-cotton-lined-gloves-medium","https://keypak.tbkdev.com/product/palm-coated-cotton-lined-gloves-medium/","identical_urls","","","JS.15018.0"
"/product/palm-coated-cotton-lined-gloves-large","https://keypak.tbkdev.com/product/palm-coated-cotton-lined-gloves-large/","identical_urls","","","JS.15019.0"
"/product/string-knit-inspection-gloves-small","https://keypak.tbkdev.com/product/string-knit-inspection-gloves-small/","identical_urls","","","JS.15060.8"
"/product/string-knit-inspection-gloves-medium","https://keypak.tbkdev.com/product/string-knit-inspection-gloves-medium/","identical_urls","","","JS.15061.8"
"/product/string-knit-inspection-gloves-large","https://keypak.tbkdev.com/product/string-knit-inspection-gloves-large/","identical_urls","","","JS.15062.8"
"/product/bradley-faucet-mount-eyestation","https://keypak.tbkdev.com/product/bradley-faucet-mount-eyestation/","identical_urls","","","JS.36260.8"
"/product/back-support-large","https://keypak.tbkdev.com/product/back-support-large/","identical_urls","","","JS.64897.8"
"/product/back-support-medium","https://keypak.tbkdev.com/product/back-support-medium/","identical_urls","","","JS.64898.8"
"/product/polyester-safety-vest-csa-compliant-surveyor-medium","https://keypak.tbkdev.com/product/polyester-safety-vest-csa-compliant-surveyor-medium/","identical_urls","","","JS.65101.0"
"/product/polyester-safety-vest-csa-compliant-surveyor-large","https://keypak.tbkdev.com/product/polyester-safety-vest-csa-compliant-surveyor-large/","identical_urls","","","JS.65102.0"
"/product/vest-style-harness-medium-large","https://keypak.tbkdev.com/product/vest-style-harness-medium-large/","identical_urls","","","JS.65641.0"
"/product/cotton-canvas-apron-29-x-36","https://keypak.tbkdev.com/product/cotton-canvas-apron-29-x-36/","identical_urls","","","JS.66101.8"
